time = 153449402, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   139
time = 154530222, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   140
time = 155611042, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   141
time = 156691862, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   142
time = 157772682, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   143
time = 158853502, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   144
time = 159934322, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   145
time = 161015142, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   146
time = 162095962, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   147
time = 163176782, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   148
time = 164257602, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   149
time = 165338422, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   150
time = 166419242, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   151
time = 167500062, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   152
time = 168580882, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   153
time = 169661702, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   154
time = 170742522, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   155
time = 171823342, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   156
time = 172904162, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   157
time = 173984982, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   158
time = 175065802, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   159
time = 176146622, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   160
time = 177227442, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   161
time = 178308262, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   162
time = 179389082, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   163
time = 180469902, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   164
time = 181550722, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   165
time = 182631542, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   166
time = 183712362, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   167
time = 184793182, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   168
time = 185874002, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   169
time = 186954822, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   170
time = 188035642, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   171
time = 189116462, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   172
time = 190197282, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   173
time = 191278102, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   174
time = 192358922, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   175
time = 193439742, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   176
time = 194520562, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   177
time = 195601382, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   178
time = 196682202, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   179
time = 197763022, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   180
