time = 108172462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   123
time = 108780962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   124
time = 109389462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   125
time = 109997962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   126
time = 110606462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   127
time = 111214962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   128
time = 111823462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   129
time = 112431962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   130
time = 113040462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   131
time = 113648962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   132
time = 114257462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   133
time = 114865962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   134
time = 115474462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   135
time = 116082962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   136
time = 116691462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   137
time = 117299962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   138
time = 117908462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   139
time = 118516962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   140
time = 119125462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   141
time = 119733962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   142
time = 120342462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   143
time = 120950962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   144
time = 121559462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   145
time = 122167962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   146
time = 122776462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   147
time = 123384962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   148
time = 123993462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   149
time = 124601962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   150
time = 125210462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   151
time = 125818962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   152
time = 126427462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   153
time = 127035962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   154
time = 127644462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   155
time = 128252962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   156
time = 128861462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   157
time = 129469962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   158
time = 130078462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   159
time = 130686962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   160
time = 131295462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   161
time = 131903962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   162
time = 132512462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   163
time = 133120962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   164
