time = 136085942, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   106
time = 137060062, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   107
time = 138034182, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   108
time = 139008302, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   109
time = 139982422, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   110
time = 140956542, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   111
time = 141930662, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   112
time = 142904782, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   113
time = 143878902, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   114
time = 144853022, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   115
time = 145827142, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   116
time = 146801262, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   117
time = 147775382, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   118
time = 148749502, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   119
time = 149723622, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   120
time = 150697742, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   121
time = 151671862, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   122
time = 152645982, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   123
time = 153620102, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   124
time = 154594222, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   125
time = 155568342, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   126
time = 156542462, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   127
time = 157516582, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   128
time = 158490702, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   129
time = 159464822, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   130
time = 160438942, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   131
time = 161413062, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   132
time = 162387182, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   133
time = 163361302, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   134
time = 164335422, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   135
time = 165309542, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   136
time = 166283662, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   137
time = 167257782, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   138
time = 168231902, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   139
time = 169206022, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   140
time = 170180142, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   141
time = 171154262, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   142
time = 172128382, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   143
time = 173102502, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   144
time = 174076622, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   145
time = 175050742, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   146
time = 176024862, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   147
time = 176998982, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   148
time = 177973102, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   149
time = 178947222, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   150
time = 179921342, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   151
time = 180895462, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   152
time = 181869582, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   153
time = 182843702, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   154
time = 183817822, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   155
time = 184791942, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   156
time = 185766062, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   157
time = 186740182, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   158
time = 187714302, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   159
time = 188688422, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   160
time = 189662542, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   161
time = 190636662, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   162
time = 191610782, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   163
time = 192584902, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   164
time = 193559022, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   165
time = 194533142, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   166
time = 195507262, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   167
time = 196481382, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   168
time = 197455502, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   169
time = 198429622, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   170
time = 199403742, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   171
time = 200377862, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   172
time = 201351982, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   173
time = 202326102, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   174
time = 203300222, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   175
time = 204274342, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   176
time = 205248462, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   177
time = 206222582, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   178
time = 207196702, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   179
time = 208170822, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   180
time = 209144942, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   181
time = 210119062, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   182
time = 211093182, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   183
time = 212067302, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   184
time = 213041422, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   185
time = 214015542, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   186
time = 214989662, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   187
time = 215963782, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   188
time = 216937902, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   189
time = 217912022, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   190
time = 218886142, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   191
time = 219860262, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   192
time = 220834382, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   193
