time = 76778582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   214
time = 76981782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   215
time = 77184982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   216
time = 77388182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   217
time = 77591382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   218
time = 77794582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   219
time = 77997782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   220
time = 78200982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   221
time = 78404182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   222
time = 78607382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   223
time = 78810582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   224
time = 79013782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   225
time = 79216982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   226
time = 79420182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   227
time = 79623382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   228
time = 79826582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   229
time = 80029782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   230
time = 80232982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   231
time = 80436182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   232
time = 80639382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   233
time = 80842582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   234
time = 81045782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   235
time = 81248982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   236
time = 81452182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   237
time = 81655382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   238
time = 81858582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   239
time = 82061782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   240
time = 82264982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   241
time = 82468182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   242
time = 82671382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   243
time = 82874582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   244
time = 83077782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   245
time = 83280982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   246
time = 83484182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   247
time = 83687382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   248
time = 83890582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   249
time = 84093782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   250
time = 84296982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   251
time = 84500182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   252
time = 84703382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   253
time = 84906582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   254
time = 85109782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   255
time = 85312982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   256
time = 85516182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   257
time = 85719382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   258
time = 85922582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   259
time = 86125782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   260
time = 86328982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   261
time = 86532182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   262
time = 86735382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   263
time = 86938582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   264
time = 87141782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   265
time = 87344982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   266
time = 87548182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   267
time = 87751382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   268
time = 87954582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   269
time = 88157782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   270
time = 88360982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   271
time = 88564182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   272
time = 88767382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   273
time = 88970582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   274
time = 89173782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   275
time = 89376982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   276
time = 89580182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   277
time = 89783382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   278
time = 89986582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   279
time = 90189782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   280
time = 90392982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   281
time = 90596182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   282
time = 90799382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   283
time = 91002582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   284
time = 91205782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   285
time = 91408982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   286
