time = 227572902, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   160
time = 228786662, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   161
time = 230000422, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   162
time = 231214182, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   163
time = 232427942, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   164
time = 233641702, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   165
time = 234855462, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   166
time = 236069222, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   167
time = 237282982, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   168
time = 238496742, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   169
time = 239710502, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   170
time = 240924262, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   171
time = 242138022, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   172
time = 243351782, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   173
time = 244565542, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   174
time = 245779302, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   175
time = 246993062, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   176
time = 248206822, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   177
time = 249420582, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   178
time = 250634342, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   179
time = 251848102, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   180
time = 253061862, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   181
time = 254275622, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   182
time = 255489382, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   183
time = 256703142, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   184
time = 257916902, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   185
time = 259130662, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   186
time = 260344422, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   187
time = 261558182, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   188
time = 262771942, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   189
time = 263985702, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   190
time = 265199462, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   191
time = 266413222, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   192
time = 267626982, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   193
time = 268840742, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   194
time = 270054502, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   195
time = 271268262, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   196
time = 272482022, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   197
time = 273695782, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   198
time = 274909542, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   199
time = 276123302, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   200
time = 277337062, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   201
time = 278550822, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   202
time = 279764582, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   203
time = 280978342, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   204
time = 282192102, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   205
time = 283405862, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   206
time = 284619622, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   207
time = 285833382, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   208
time = 287047142, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   209
time = 288260902, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   210
time = 289474662, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   211
time = 290688422, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   212
time = 291902182, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   213
time = 293115942, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   214
time = 294329702, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   215
time = 295543462, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   216
time = 296757222, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   217
time = 297970982, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   218
time = 299184742, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   219
time = 300398502, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   220
time = 301612262, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   221
time = 302826022, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   222
time = 304039782, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   223
time = 305253542, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   224
time = 306467302, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   225
time = 307681062, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   226
time = 308894822, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   227
time = 310108582, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   228
time = 311322342, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   229
time = 312536102, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   230
time = 313749862, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   231
time = 314963622, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   232
time = 316177382, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   233
time = 317391142, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   234
time = 318604902, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   235
time = 319818662, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   236
time = 321032422, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   237
time = 322246182, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   238
time = 323459942, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   239
time = 324673702, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   240
time = 325887462, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   241
time = 327101222, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   242
time = 328314982, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   243
time = 329528742, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   244
time = 330742502, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   245
time = 331956262, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   246
time = 333170022, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   247
time = 334383782, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   248
time = 335597542, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   249
time = 336811302, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   250
time = 338025062, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   251
time = 339238822, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   252
time = 340452582, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   253
time = 341666342, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   254
time = 342880102, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   255
time = 344093862, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   256
time = 345307622, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   257
time = 346521382, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   258
time = 347735142, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   259
time = 348948902, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   260
time = 350162662, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   261
time = 351376422, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   262
time = 352590182, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   263
time = 353803942, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   264
time = 355017702, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   265
time = 356231462, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   266
